S.Hemi Temperature Anomalies (deg C) AIRS v6 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2010,  0.121,  0.218,  0.145,  0.033, -0.082, -0.061, -0.277, -0.171, -0.033, -0.109, -0.145, -0.116, -0.040, -0.023,  0.141,  0.032, -0.170, -0.096
2011, -0.065, -0.125, -0.218,  0.036, -0.109,  0.028,  0.243,  0.151, -0.078, -0.165, -0.147, -0.217, -0.056, -0.047, -0.102, -0.097,  0.141, -0.130
2012, -0.221, -0.055, -0.093, -0.038,  0.032, -0.045, -0.204, -0.007, -0.099,  0.104, -0.001,  0.026, -0.050, -0.070, -0.164, -0.033, -0.086,  0.001
2013,  0.083,  0.024, -0.040,  0.008, -0.128,  0.144, -0.169,  0.005,  0.236, -0.016, -0.019,  0.044,  0.014,  0.013,  0.045, -0.053, -0.007,  0.067
2014, -0.001, -0.185, -0.065,  0.003,  0.144, -0.009, -0.071,  0.034,  0.201,  0.125,  0.061,  0.032,  0.023,  0.024, -0.047,  0.027, -0.015,  0.129
2015,  0.042,  0.154,  0.003, -0.156, -0.108, -0.101, -0.140, -0.044, -0.008,  0.175,  0.157,  0.291,  0.022,  0.001,  0.076, -0.087, -0.095,  0.108
2016,  0.205,  0.277,  0.191,  0.180,  0.132,  0.008,  0.213,  0.211,  0.053,  0.251,  0.294,  0.183,  0.183,  0.192,  0.258,  0.167,  0.144,  0.199
2017,  0.224,  0.267,  0.227,  0.066,  0.218, -0.005,  0.108,  0.017,  0.071,  0.142, -0.001, -0.010,  0.110,  0.127,  0.225,  0.170,  0.040,  0.071
2018,  0.112,  0.017,  0.067,  0.205,  0.021,  0.049, -0.003, -0.040, -0.064,  0.021,  0.037,  0.213,  0.053,  0.034,  0.040,  0.098,  0.002, -0.002
2019,  0.235,  0.341,  0.272,  0.190,  0.051,  0.072,  0.193,  0.149,  0.075,  0.249,  0.300,  0.348,  0.206,  0.195,  0.263,  0.171,  0.138,  0.208
2020,  0.249,  0.126,  0.050,  0.225,  0.110,  0.163,  0.148, -0.066,  0.174,  0.002,  0.159, -0.141,  0.100,  0.141,  0.241,  0.128,  0.082,  0.112
2021, -0.104, -0.141, -0.060, -0.060, -0.069, -0.097,  0.148,  0.079,  0.178,  0.018, -0.017,  0.228,  0.009, -0.022, -0.128, -0.063,  0.043,  0.060
2022,  0.226,  0.234,  0.241, -0.244,  0.096,  0.173,  0.124, -0.100, -0.080, -0.081, -0.240, -0.011,  0.028,  0.048,  0.229,  0.031,  0.066, -0.134
2023,  0.003,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******
S.Hemi Temperature Anomalies (deg C) GHCNv4/ERSSTv5 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,  0.008, -0.056,  0.124,  0.164,  0.188, -0.134,  0.020, -0.101,  0.024, -0.037, -0.165, -0.060, -0.002, -0.002, -0.034,  0.159, -0.072, -0.059
2003,  0.053,  0.123,  0.005,  0.001, -0.086, -0.099, -0.064, -0.182, -0.150, -0.112, -0.155, -0.002, -0.055, -0.060,  0.039, -0.026, -0.115, -0.139
2004, -0.016,  0.046, -0.123,  0.027, -0.366, -0.105, -0.513, -0.248, -0.213, -0.066, -0.089,  0.051, -0.135, -0.139,  0.009, -0.154, -0.289, -0.123
2005,  0.028,  0.003,  0.017, -0.080, -0.104, -0.011, -0.061, -0.098, -0.092, -0.029, -0.142,  0.007, -0.047, -0.043,  0.028, -0.056, -0.057, -0.087
2006, -0.043,  0.023, -0.045, -0.149, -0.392, -0.009, -0.158,  0.123, -0.133, -0.146, -0.029, -0.095, -0.088, -0.079, -0.004, -0.195, -0.014, -0.103
2007,  0.061,  0.021, -0.025, -0.047,  0.071,  0.061,  0.002, -0.145, -0.087, -0.240, -0.199, -0.295, -0.068, -0.052, -0.004, -0.000, -0.027, -0.175
2008, -0.248, -0.313, -0.180, -0.070, -0.203, -0.151,  0.054, -0.287,  0.037, -0.098, -0.148, -0.089, -0.141, -0.159, -0.285, -0.151, -0.128, -0.070
2009, -0.052, -0.121, -0.038,  0.027,  0.058,  0.104,  0.255,  0.034, -0.030, -0.066,  0.190,  0.171,  0.044,  0.023, -0.087,  0.016,  0.131,  0.031
2010,  0.180,  0.255,  0.221,  0.070, -0.013,  0.007, -0.170, -0.140, -0.061, -0.062, -0.132, -0.119,  0.003,  0.027,  0.202,  0.093, -0.101, -0.085
2011, -0.085, -0.083, -0.099, -0.037, -0.180, -0.017,  0.147,  0.167, -0.220, -0.173, -0.042, -0.193, -0.068, -0.062, -0.096, -0.105,  0.099, -0.145
2012, -0.221, -0.084, -0.079, -0.114,  0.007, -0.159, -0.223, -0.071, -0.035,  0.094,  0.037,  0.093, -0.063, -0.087, -0.166, -0.062, -0.151,  0.032
2013,  0.051, -0.020,  0.009, -0.093, -0.150,  0.101, -0.033,  0.034,  0.218, -0.028, -0.019,  0.039,  0.009,  0.014,  0.041, -0.078,  0.034,  0.057
2014,  0.026, -0.098, -0.163,  0.017,  0.238,  0.019, -0.142,  0.132,  0.293,  0.101, -0.028, -0.049,  0.029,  0.036, -0.011,  0.031,  0.003,  0.122
2015,  0.011,  0.134,  0.062,  0.007, -0.031,  0.060,  0.002, -0.022, -0.087,  0.313,  0.181,  0.270,  0.075,  0.048,  0.032,  0.013,  0.013,  0.136
2016,  0.277,  0.309,  0.292,  0.240,  0.203, -0.025,  0.108,  0.297, -0.027,  0.159,  0.160,  0.172,  0.180,  0.189,  0.285,  0.245,  0.127,  0.097
2017,  0.142,  0.267,  0.278,  0.195,  0.317, -0.002,  0.128,  0.110, -0.088,  0.168, -0.021, -0.040,  0.121,  0.139,  0.194,  0.263,  0.079,  0.020
2018, -0.025, -0.035,  0.076,  0.319,  0.050,  0.179,  0.209,  0.051,  0.021,  0.217,  0.120,  0.223,  0.117,  0.095, -0.033,  0.148,  0.146,  0.119
2019,  0.145,  0.288,  0.268,  0.286,  0.133,  0.115,  0.317,  0.194,  0.028,  0.139,  0.229,  0.269,  0.201,  0.197,  0.219,  0.229,  0.209,  0.132
2020,  0.238,  0.294,  0.156,  0.368,  0.174,  0.203,  0.162,  0.013,  0.161, -0.018,  0.047, -0.118,  0.140,  0.172,  0.267,  0.233,  0.126,  0.063
2021, -0.149, -0.154,  0.048, -0.105, -0.051, -0.027,  0.236, -0.003,  0.181,  0.109,  0.011,  0.057,  0.013, -0.002, -0.140, -0.036,  0.069,  0.100
2022,  0.061,  0.132,  0.149,  0.093,  0.088,  0.215,  0.283,  0.126,  0.023,  0.047, -0.203,  0.009,  0.085,  0.089,  0.083,  0.110,  0.208, -0.044
2023, -0.077,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******
